UserId,merchantId,gender,age,category
1,1,F,62,
2,2,F,23,
3,3,N,46,
4,4,N,80,
5,5,F,65,
6,6,N,21,
7,7,N,33,
8,8,N,45,
9,9,M,56,
10,10,M,40,
11,11,F,55,
12,12,M,27,
13,13,F,68,
14,14,M,32,
15,15,N,39,
16,16,F,80,
17,17,M,57,
18,18,F,58,
19,19,M,72,
20,20,M,62,
21,21,M,25,
22,22,F,32,
23,23,M,24,
24,24,F,58,
25,25,F,58,
26,26,F,65,
27,27,F,49,
28,28,F,25,
29,29,N,28,
30,30,N,54,
31,31,F,68,
32,32,N,73,
33,33,M,45,
34,34,N,36,
35,35,M,45,
36,36,N,75,
37,37,F,67,
38,38,N,30,
39,39,N,60,
40,40,N,43,
41,41,F,65,
42,42,N,42,
43,43,M,64,
44,44,M,29,
45,45,M,54,
46,46,N,75,
47,47,N,74,
48,48,M,75,
49,49,N,68,
50,50,M,51,
51,51,M,51,
52,52,F,40,
53,53,N,53,
54,54,M,69,
55,55,N,73,
56,56,N,49,
57,57,F,34,
58,58,N,39,
59,59,N,74,
60,60,N,64,
61,61,N,63,
62,62,M,44,
63,63,F,24,
64,64,N,30,
65,65,N,60,
66,66,F,50,
67,67,F,28,
68,68,F,64,
69,69,N,38,
70,70,M,49,
71,71,F,78,
72,72,F,70,
73,73,M,78,
74,74,N,50,
75,75,F,42,
76,76,M,76,
77,77,N,64,
78,78,M,71,
79,79,N,48,
80,80,M,58,
81,81,F,37,
82,82,F,59,
83,83,M,72,
84,84,M,48,
85,85,F,57,
86,86,M,54,
87,87,N,50,
88,88,F,61,
89,89,N,46,
90,90,N,23,
91,91,M,59,
92,92,M,48,
93,93,F,60,
94,94,M,57,
95,95,F,67,
96,96,M,27,
97,97,M,67,
98,98,N,31,
99,99,F,55,
100,100,M,78,
101,101,N,79,
102,20,M,33,
103,102,M,24,
104,103,M,25,
105,104,F,23,
106,105,F,64,
107,106,M,75,
108,107,M,43,
109,108,N,70,
110,109,M,58,
111,110,F,74,
112,111,F,37,
113,112,F,59,
114,113,M,35,
115,114,F,73,
116,115,M,22,
117,116,N,25,
118,117,F,42,
119,118,F,46,
120,119,F,68,
121,120,N,53,
122,121,N,43,
123,122,F,49,
124,123,N,42,
125,124,N,71,
126,125,M,23,
127,126,M,59,
128,127,M,50,
129,128,M,25,
130,129,N,36,
131,130,F,72,
132,131,N,64,
133,132,M,46,
134,133,N,43,
135,134,F,74,
136,135,M,41,
137,136,F,51,
138,137,F,21,
139,42,F,34,
140,138,N,39,
141,139,F,41,
142,140,M,77,
143,141,N,80,
144,142,N,56,
145,143,F,75,
146,144,F,55,
10,145,M,40,
147,146,M,73,
148,147,F,76,
149,148,M,42,
150,149,M,80,
151,150,N,21,
152,151,F,31,
153,152,M,75,
154,153,N,39,
155,154,M,37,
156,155,F,77,
157,156,N,27,
158,157,M,62,
159,158,N,60,
160,159,M,74,
161,160,M,70,
162,161,M,61,
163,162,F,49,
164,163,M,51,
165,164,F,34,
166,165,M,66,
167,166,N,44,
168,167,M,80,
169,168,M,54,
170,169,N,74,
171,170,M,45,
172,171,M,33,
173,172,M,41,
174,173,N,71,
175,174,M,64,
176,175,F,27,
177,176,F,41,
178,177,N,36,
179,178,F,73,
180,179,F,64,
181,180,F,56,
182,181,M,62,
183,182,F,51,
184,183,F,75,
185,184,F,79,
186,185,M,21,
187,186,N,69,
188,122,N,37,
189,187,F,75,
190,188,F,55,
191,189,F,38,
192,190,M,40,
193,191,N,38,
194,192,N,29,
195,193,F,70,
196,194,F,25,
197,195,F,25,
198,196,M,67,
199,197,F,39,
200,198,M,28,
201,199,N,64,
202,200,F,29,
203,201,M,69,
204,202,F,51,
205,203,F,80,
206,204,F,62,
207,205,F,52,
208,206,F,48,
209,207,N,74,
210,208,N,32,
211,209,F,42,
212,210,M,54,
213,211,F,42,
214,212,F,26,
215,213,M,56,
216,214,F,61,
217,215,F,75,
218,216,M,67,
219,217,F,49,
220,218,M,49,
221,219,M,56,
222,220,N,21,
223,221,F,22,
224,222,F,26,
225,223,M,73,
226,224,F,78,
227,225,F,57,
228,226,N,55,
229,227,N,73,
230,228,F,32,
231,229,F,23,
232,230,F,68,
233,231,F,80,
234,232,M,26,
235,233,M,51,
45,234,M,54,
236,235,F,76,
237,236,F,53,
238,237,M,74,
239,238,F,42,
240,239,M,52,
241,240,F,39,
242,121,N,75,
243,241,N,53,
244,242,M,76,
245,243,N,27,
246,140,F,77,
247,244,M,22,
248,245,F,23,
249,246,M,53,
250,247,N,32,
251,248,M,30,
252,249,M,49,
253,250,F,69,
254,251,N,32,
255,252,N,37,
256,253,N,34,
257,254,M,58,
258,255,F,36,
259,256,F,52,
260,203,N,78,
261,257,F,56,
262,258,N,22,
263,259,N,44,
264,260,M,73,
265,261,N,67,
266,262,N,70,
267,263,M,63,
268,264,N,60,
269,265,M,41,
270,266,N,68,
271,267,N,64,
272,268,F,59,
273,269,M,67,
274,270,M,37,
275,271,M,43,
276,272,N,27,
277,273,N,68,
278,274,M,34,
279,275,F,73,
280,276,F,25,
281,277,F,67,
282,278,N,49,
283,279,M,71,
284,280,N,76,
285,281,N,78,
286,282,M,67,
287,283,F,45,
288,284,F,64,
289,285,F,38,
290,286,N,75,
291,287,N,77,
292,288,M,24,
293,289,M,34,
294,290,F,50,
295,184,N,20,
296,291,F,65,
297,292,F,60,
298,293,F,24,
299,294,F,70,
300,295,F,58,
301,296,N,75,
302,297,M,60,
303,298,N,27,
304,299,N,27,
305,300,M,22,
306,301,M,47,
307,302,F,56,
308,303,M,70,
309,304,M,20,
310,240,M,47,
311,305,F,37,
312,306,M,27,
313,307,N,20,
314,308,M,77,
315,309,F,30,
316,310,N,30,
317,311,N,21,
318,312,F,31,
319,313,M,22,
320,314,N,61,
321,315,M,56,
322,316,N,48,
323,317,M,22,
324,318,N,49,
325,319,N,24,
114,320,M,35,
326,321,N,24,
327,322,M,29,
328,323,N,38,
329,324,M,39,
330,325,F,32,
331,326,N,34,
332,327,F,57,
333,328,M,24,
334,329,F,38,
335,330,N,47,
336,331,N,36,
337,332,F,25,
338,333,N,46,
339,334,N,56,
340,335,M,29,
341,336,N,40,
342,337,F,61,
343,338,M,34,
344,339,N,80,
345,340,N,70,
346,341,M,31,
347,342,F,79,
348,343,F,61,
349,344,M,77,
350,345,F,75,
351,346,M,71,
352,347,M,42,
353,90,N,57,
354,348,M,60,
323,349,M,22,
355,350,M,39,
356,351,M,47,
357,352,N,67,
358,353,N,35,
359,354,F,21,
360,355,M,76,
361,356,M,44,
362,92,M,65,
363,357,F,34,
214,358,F,26,
364,359,F,78,
365,360,M,76,
366,198,M,67,
367,89,M,61,
368,361,F,68,
369,362,M,72,
370,363,N,31,
371,364,F,34,
372,365,N,56,
373,366,N,78,
374,367,M,33,
375,368,M,65,
376,369,N,61,
377,370,M,22,
378,371,F,74,
379,372,N,39,
380,373,M,41,
381,374,N,30,
382,375,N,30,
383,376,M,62,
384,377,F,23,
385,378,F,62,
386,379,M,72,
387,380,N,74,
388,381,F,52,
30,382,N,54,
389,383,N,21,
390,384,M,55,
391,385,N,43,
53,386,N,53,
392,387,F,55,
143,388,N,80,
393,389,M,47,
262,390,N,22,
394,391,N,34,
395,392,M,70,
396,393,N,31,
397,394,M,61,
398,316,M,39,
399,395,F,26,
400,396,F,27,
401,397,M,72,
402,398,F,24,
403,399,N,62,
103,400,M,24,
404,401,M,47,
405,402,F,45,
406,403,F,20,
407,404,N,78,
408,405,F,36,
409,406,F,29,
410,407,F,64,
411,408,N,35,
373,409,N,78,
412,410,N,55,
413,411,M,80,
414,412,N,45,
415,413,F,76,
416,414,N,32,
417,415,F,34,
418,416,F,56,
419,417,F,78,
420,418,M,41,
421,419,N,44,
422,420,M,20,
423,421,N,72,
424,422,M,71,
425,423,M,53,
426,424,F,64,
427,425,F,48,
374,426,M,33,
428,427,F,28,
429,428,N,63,
430,429,F,49,
431,430,M,74,
432,431,F,68,
433,432,F,23,
434,433,N,66,
435,434,M,56,
436,435,M,66,
437,436,N,53,
438,437,N,49,
439,438,F,23,
437,439,N,53,
440,440,N,25,
441,441,N,72,
442,442,F,36,
443,443,M,25,
444,444,M,46,
443,397,M,25,
445,445,M,80,
446,446,F,59,
447,447,F,51,
448,448,N,30,
449,449,M,61,
450,450,F,61,
451,451,F,63,
452,452,M,36,
453,453,N,42,
454,429,N,40,
455,454,M,40,
456,455,M,21,
457,456,M,68,
458,457,N,34,
459,458,M,50,
460,459,M,59,
461,460,F,20,
462,461,F,28,
463,462,N,38,
464,463,M,72,
465,464,N,41,
466,465,F,36,
467,466,N,61,
468,467,N,73,
469,468,M,44,
470,469,N,46,
471,470,M,41,
472,471,F,22,
473,472,N,26,
474,473,M,37,
475,169,F,48,
476,474,M,45,
477,475,N,35,
478,476,F,40,
479,477,M,76,
480,478,M,43,
481,479,F,41,
482,480,N,61,
483,481,M,38,
484,482,N,59,
485,483,F,30,
486,484,M,51,
487,485,F,48,
488,486,N,31,
489,487,F,40,
490,488,F,60,
491,489,N,26,
492,490,N,55,
493,491,F,43,
494,492,M,43,
495,493,N,54,
496,494,M,71,
497,495,M,22,
498,496,F,53,
499,497,M,28,
500,498,N,75,
501,499,F,21,
502,451,M,32,
503,500,N,54,
504,501,N,37,
386,502,M,72,
505,503,F,26,
506,504,N,43,
507,505,M,42,
508,506,M,46,
509,507,F,60,
510,508,M,62,
511,509,N,54,
512,510,F,52,
513,217,M,72,
514,511,M,73,
515,512,N,75,
516,513,N,70,
517,514,F,25,
518,515,N,70,
519,516,N,55,
520,517,M,44,
521,518,M,79,
522,519,M,34,
523,520,F,41,
524,521,F,68,
525,522,F,76,
526,523,F,38,
527,524,F,58,
528,525,M,24,
529,526,F,38,
530,527,N,31,
531,528,M,44,
532,529,M,30,
533,62,F,67,
534,530,F,61,
535,531,F,29,
536,532,N,69,
537,533,F,52,
538,534,F,30,
539,535,N,70,
540,536,F,28,
541,537,N,47,
542,538,F,80,
543,539,N,32,
70,540,M,49,
544,541,F,58,
545,542,M,56,
546,543,F,70,
547,544,N,42,
548,545,F,26,
549,546,M,71,
550,547,M,24,
551,548,N,72,
552,549,N,27,
553,550,N,80,
554,551,M,59,
555,125,F,38,
556,552,M,66,
557,553,N,53,
558,79,N,45,
559,554,N,55,
560,555,F,53,
561,556,N,57,
562,557,M,69,
563,558,N,53,
564,325,M,47,
565,559,N,77,
566,560,N,57,
567,561,M,77,
568,562,M,30,
569,563,M,58,
570,564,N,62,
571,565,N,49,
572,566,F,51,
573,567,M,22,
574,568,M,77,
575,569,F,62,
576,570,N,31,
577,571,F,20,
578,572,F,75,
579,573,N,29,
580,574,F,55,
581,575,N,23,
582,576,N,68,
583,577,N,57,
584,578,N,25,
585,579,M,66,
586,580,N,27,
587,581,F,24,
588,582,F,44,
589,583,F,52,
590,368,F,30,
591,584,N,47,
592,585,N,57,
593,586,F,30,
594,587,F,41,
595,588,N,29,
596,589,F,46,
597,590,F,56,
598,591,M,60,
599,299,N,60,
600,592,N,21,
601,593,M,74,
602,594,M,32,
603,595,N,38,
604,596,N,64,
577,597,F,20,
605,598,M,29,
606,599,N,28,
607,600,F,44,
608,601,M,27,
609,602,N,35,
610,603,N,50,
611,604,N,37,
612,605,N,50,
613,606,M,63,
614,388,F,20,
615,494,N,65,
616,607,M,64,
617,608,N,53,
618,609,F,20,
619,610,M,56,
620,611,M,42,
621,612,N,36,
622,613,F,29,
623,614,F,59,
624,615,F,20,
625,616,F,36,
626,617,F,45,
627,618,N,44,
628,619,M,50,
629,620,F,39,
630,621,N,51,
631,382,N,22,
632,622,F,55,
633,623,N,73,
634,298,N,59,
635,624,F,42,
636,625,M,42,
142,626,M,77,
637,627,N,38,
176,628,F,27,
638,543,F,60,
639,17,M,22,
640,629,N,49,
641,630,M,77,
642,631,M,39,
643,632,N,32,
644,633,F,22,
645,634,N,39,
646,635,F,29,
647,636,F,45,
648,582,M,60,
649,637,F,57,
650,638,F,25,
651,639,N,60,
652,414,N,30,
653,640,M,38,
654,641,N,42,
655,642,N,70,
656,643,N,62,
657,644,F,47,
658,645,F,77,
659,646,F,62,
660,647,N,56,
661,648,M,21,
662,649,F,39,
663,650,N,56,
664,651,M,52,
59,652,N,74,
665,653,F,74,
666,654,M,56,
667,655,M,40,
668,656,N,75,
669,28,N,37,
670,657,M,49,
671,133,M,47,
672,658,N,52,
673,659,N,26,
674,660,M,47,
675,166,M,76,
676,661,F,64,
677,662,F,59,
678,663,N,24,
679,664,N,51,
680,665,M,26,
681,666,N,55,
12,667,M,27,
682,668,N,76,
683,669,F,20,
684,670,M,25,
685,671,F,40,
686,672,F,47,
687,673,M,40,
688,674,F,58,
689,675,M,27,
690,676,M,39,
691,366,N,43,
692,677,F,55,
693,678,F,31,
694,679,F,42,
695,680,M,58,
696,681,N,69,
697,682,N,22,
698,683,F,42,
699,684,N,33,
700,685,M,27,
701,686,N,24,
702,687,N,73,
703,688,N,47,
704,689,M,35,
705,690,M,52,
706,691,M,61,
707,692,M,74,
708,693,N,64,
709,694,M,74,
710,695,N,26,
711,696,M,60,
712,697,N,50,
713,566,M,53,
714,698,N,23,
715,699,F,57,
716,700,N,46,
717,701,M,63,
718,702,M,31,
719,703,F,76,
720,704,M,31,
721,705,N,48,
722,706,N,73,
723,707,N,23,
724,708,N,57,
725,613,M,63,
178,709,N,36,
726,710,N,71,
727,711,F,57,
728,574,M,44,
729,712,F,42,
730,713,M,21,
731,714,N,62,
732,715,M,76,
733,716,M,52,
734,717,N,27,
735,718,F,71,
736,719,F,32,
737,73,F,21,
738,720,N,61,
739,721,N,25,
740,722,N,52,
741,219,N,70,
742,723,M,70,
362,724,M,65,
743,725,N,34,
667,726,M,40,
744,260,M,40,
187,727,N,69,
745,728,M,29,
746,729,F,73,
747,730,N,21,
748,731,F,40,
749,732,N,50,
750,733,M,22,
751,716,N,68,
752,207,M,41,
85,112,F,57,
753,734,F,43,
754,735,N,73,
755,65,N,26,
756,736,N,69,
757,737,F,26,
758,738,F,70,
759,739,M,61,
760,740,N,22,
761,741,F,34,
762,742,M,54,
763,743,M,77,
764,744,F,45,
765,745,F,44,
766,746,N,76,
767,747,M,69,
768,490,F,72,
769,748,M,65,
770,749,F,26,
771,750,F,36,
48,751,M,75,
772,752,F,41,
689,72,M,27,
773,753,F,55,
774,754,N,50,
775,755,N,42,
47,756,N,74,
776,757,F,48,
777,758,N,45,
778,438,F,64,
779,759,M,22,
780,342,N,77,
781,760,N,79,
782,761,F,80,
527,640,F,58,
135,762,F,74,
783,763,N,78,
784,764,F,47,
785,219,N,73,
786,765,N,67,
787,766,M,76,
788,767,M,45,
789,768,N,64,
790,769,N,31,
791,244,N,70,
792,770,N,45,
793,771,N,54,
794,772,M,54,
795,773,F,70,
796,774,N,26,
797,775,M,66,
798,776,M,21,
799,777,F,30,
155,471,M,37,
800,778,F,35,
801,496,N,66,
802,779,N,74,
129,780,M,25,
803,577,M,42,
804,781,F,71,
805,782,F,75,
806,783,F,76,
807,784,F,80,
808,785,M,61,
809,786,M,34,
810,787,M,73,
811,788,N,62,
468,789,N,73,
812,790,M,60,
813,791,F,75,
814,792,F,80,
815,728,N,44,
816,793,F,30,
817,794,M,52,
164,795,M,51,
818,796,M,33,
819,797,M,71,
820,798,N,25,
821,799,F,32,
822,800,F,60,
823,801,M,43,
824,771,F,21,
825,802,F,36,
826,803,F,47,
827,804,M,24,
828,805,N,25,
829,806,F,23,
830,807,N,43,
627,602,N,44,
831,808,M,32,
